Designator,Mid X,Mid Y,Rotation,Layer
_2,179.5,-102.0,0.0,top
,156.2,-102.0,0.0,top
J1,120.61,-83.47,180.0,top
J2,166.5,-78.0,180.0,top
U2,126.55,-93.3,0.0,top
U3,146.545,-74.12,0.0,top
UNDER_URAT1,166.5,-68.5,0.0,top
